0,0,3.1416,-0.66415
0.031292,0.60492,3.0903,-0.37584
0.117,1.0903,3.0638,-0.16675
0.24582,1.4694,3.0549,-0.019588
0.40776,1.7551,3.0583,0.079914
0.59415,1.9599,3.0696,0.14306
0.79745,2.0958,3.086,0.17876
1.0114,2.1735,3.1048,0.19436
1.2305,2.2028,3.1243,0.19552
1.4506,2.1928,3.1435,0.18671
1.668,2.1514,3.1615,0.17154
1.88,2.0853,3.1777,0.15259
2.0845,2.0003,3.192,0.13181
2.2796,1.9013,3.2041,0.1107
2.4644,1.7924,3.2141,0.090163
2.6379,1.6767,3.2222,0.070812
2.7996,1.5572,3.2283,0.053092
2.9493,1.4359,3.2328,0.037195
3.0868,1.3145,3.2358,0.023147
3.2122,1.1946,3.2375,0.010953
3.3258,1.0771,3.2381,0.00054635
3.4277,0.96278,3.2377,-0.0082243
3.5185,0.85231,3.2365,-0.0155
3.5984,0.74612,3.2346,-0.021419
3.6679,0.64447,3.2322,-0.026147
3.7274,0.54754,3.2294,-0.029837
3.7775,0.45543,3.2263,-0.032624
3.8186,0.36813,3.2229,-0.034644
3.8513,0.2856,3.2194,-0.036021
3.8759,0.20778,3.2158,-0.036859
3.893,0.13457,3.212,-0.037243
3.903,0.065855,3.2083,-0.037261
3.9063,0.0014491,3.2046,-0.036986
3.9034,-0.058795,3.2009,-0.036477
3.8947,-0.11501,3.1973,-0.035784
3.8806,-0.16734,3.1938,-0.034947
3.8614,-0.21593,3.1903,-0.034006
3.8375,-0.26097,3.187,-0.032987
3.8093,-0.30261,3.1837,-0.03191
3.7771,-0.34099,3.1806,-0.030796
3.7412,-0.37625,3.1776,-0.029663
3.7019,-0.4085,3.1747,-0.028525
3.6596,-0.4379,3.1719,-0.027391
3.6144,-0.46458,3.1692,-0.026263
3.5668,-0.48866,3.1666,-0.025146
3.5168,-0.51026,3.1642,-0.024045
3.4648,-0.52949,3.1618,-0.022964
3.411,-0.54647,3.1596,-0.021908
3.3556,-0.56131,3.1574,-0.02088
3.2988,-0.57411,3.1554,-0.019876
3.2408,-0.58497,3.1535,-0.018897
3.1818,-0.59399,3.1516,-0.017941
3.1221,-0.60127,3.1499,-0.017011
3.0616,-0.6069,3.1482,-0.016108
3.0007,-0.61097,3.1466,-0.015232
2.9395,-0.61358,3.1452,-0.014383
2.8781,-0.61479,3.1438,-0.013559
2.8166,-0.61469,3.1424,-0.012759
2.7552,-0.61337,3.1412,-0.011984
2.6939,-0.6109,3.14,-0.011232
2.633,-0.60735,3.139,-0.010505
2.5725,-0.6028,3.1379,-0.0098024
2.5125,-0.59732,3.137,-0.0091245
2.4531,-0.59098,3.1361,-0.0084701
2.3943,-0.58383,3.1353,-0.0078388
2.3363,-0.57595,3.1346,-0.0072305
2.2792,-0.56738,3.1339,-0.0066446
2.2229,-0.5582,3.1332,-0.006081
2.1675,-0.54845,3.1326,-0.0055395
2.1132,-0.53819,3.1321,-0.0050197
2.0599,-0.52747,3.1316,-0.0045214
2.0077,-0.51635,3.1312,-0.0040444
1.9567,-0.50485,3.1308,-0.0035881
1.9068,-0.49305,3.1305,-0.0031521
1.8581,-0.48096,3.1302,-0.002736
1.8106,-0.46864,3.1299,-0.0023395
1.7644,-0.45613,3.1297,-0.0019624
1.7194,-0.44345,3.1295,-0.0016042
1.6757,-0.43066,3.1294,-0.0012646
1.6332,-0.41777,3.1293,-0.00094313
1.5921,-0.40482,3.1292,-0.00063922
1.5523,-0.39184,3.1292,-0.00035236
1.5137,-0.37886,3.1291,-8.2001e-05
1.4765,-0.36591,3.1292,0.00017249
1.4405,-0.353,3.1292,0.00041137
1.4059,-0.34017,3.1292,0.00063495
1.3725,-0.32742,3.1293,0.00084375
1.3404,-0.3148,3.1294,0.0010383
1.3096,-0.3023,3.1295,0.001219
1.28,-0.28995,3.1296,0.0013864
1.2516,-0.27776,3.1298,0.001541
1.2244,-0.26575,3.13,0.0016832
1.1984,-0.25394,3.1301,0.0018134
1.1736,-0.24233,3.1303,0.0019322
1.1499,-0.23093,3.1305,0.0020399
1.1274,-0.21976,3.1307,0.0021369
1.106,-0.20883,3.1309,0.0022237
1.0856,-0.19813,3.1312,0.0023007
1.0663,-0.18769,3.1314,0.0023685
1.0481,-0.1775,3.1316,0.0024274
1.0308,-0.16757,3.1319,0.002478
1.0146,-0.1579,3.1321,0.0025205
