0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
-0.5308,-0.1444,3.1,-0.0030935,1.9229,1.1611,3.2165,0.042461,-1.6577,-0.74305,3.0464,-0.024161,1.71,1.0478,3.2064,0.03846,0.0070698,0.14161,3.1255,0.0068566,-1.3031,-0.55479,3.0633,-0.017487,-2.6084,-1.2473,3.0011,-0.042408,-3.0757,-1.4948,2.9788,-0.051648,-0.27272,-0.0071829,3.1122,0.0016858,2.5034,1.47,3.2441,0.053483
-0.54247,-0.089391,3.1,0.0035667,2.0335,1.0521,3.2199,0.02646,-1.7255,-0.61231,3.0449,-0.0070611,1.8101,0.95312,3.2095,0.024424,0.0222,0.1607,3.1263,0.0085491,-1.3533,-0.44798,3.0622,-0.0036704,-2.7233,-1.0517,2.9982,-0.016457,-3.2137,-1.2669,2.9752,-0.021292,-0.27154,0.030576,3.1126,0.0059603,2.643,1.3219,3.2483,0.032129
-0.54877,-0.037089,3.1007,0.0090519,2.1333,0.94501,3.2218,0.012735,-1.7803,-0.48633,3.0449,0.0073015,1.9007,0.85994,3.2113,0.012373,0.039154,0.17809,3.1272,0.0098191,-1.3929,-0.3453,3.0625,0.0078815,-2.819,-0.86243,2.9977,0.0055366,-3.3293,-1.046,2.9744,0.0045194,-0.26668,0.066118,3.1134,0.0094224,2.7678,1.1766,3.2506,0.013803
-0.54999,0.012126,3.1018,0.013441,2.2226,0.84096,3.2225,0.0011736,-1.8229,-0.36622,3.0463,0.0191,1.9821,0.7693,3.212,0.002212,0.05776,0.19377,3.1282,0.01072,-1.4225,-0.24762,3.0637,0.017331,-2.8961,-0.68138,2.9992,0.023733,-3.4232,-0.83441,2.9759,0.025914,-0.25839,0.099225,3.1145,0.012135,2.8784,1.0357,3.2512,-0.00161
-0.54646,0.058045,3.1033,0.016853,2.3017,0.74085,3.2221,-0.0083551,-1.8538,-0.25279,3.0487,0.028524,2.0547,0.68197,3.2118,-0.006181,0.077851,0.20773,3.1293,0.011302,-1.4426,-0.15556,3.0659,0.024846,-2.9556,-0.50983,3.0023,0.038406,-3.4965,-0.6337,2.9794,0.043265,-0.24692,0.1298,3.1158,0.014187,2.9752,0.90054,3.2504,-0.014267
-0.5385,0.10055,3.1051,0.019401,2.3709,0.64528,3.2209,-0.016034,-1.8737,-0.14645,3.0519,0.035847,2.1187,0.59849,3.2108,-0.012956,0.099254,0.22004,3.1305,0.011617,-1.4538,-0.069412,3.0687,0.030646,-2.9984,-0.34853,3.0068,0.049941,-3.5503,-0.44483,2.9845,0.056963,-0.23252,0.15781,3.1173,0.015664,3.0587,0.77174,3.2484,-0.024458
-0.52646,0.13965,3.1072,0.021212,2.4309,0.55456,3.219,-0.022095,-1.8834,-0.047389,3.0558,0.041335,2.1745,0.51913,3.2093,-0.018315,0.12181,0.23075,3.1317,0.011715,-1.4567,0.010684,3.072,0.034962,-3.0256,-0.19791,3.0122,0.058694,-3.5859,-0.26839,2.9907,0.067403,-0.21544,0.18327,3.1189,0.016649,3.1298,0.64979,3.2455,-0.032465
-0.51068,0.17539,3.1094,0.022404,2.482,0.46888,3.2165,-0.026742,-1.8834,0.044345,3.0601,0.045245,2.2226,0.44407,3.2072,-0.022442,0.14535,0.23994,3.1328,0.011635,-1.4519,0.084713,3.0756,0.038002,-3.0383,-0.058098,3.0184,0.065049,-3.6044,-0.1045,2.9979,0.075041,-0.19595,0.20627,3.1206,0.017229,3.1889,0.53495,3.242,-0.038564
-0.49149,0.20785,3.1116,0.023076,2.5248,0.3883,3.2137,-0.030186,-1.8747,0.12891,3.0648,0.047844,2.2635,0.37338,3.2048,-0.025516,0.16975,0.24767,3.134,0.011413,-1.4399,0.15281,3.0795,0.03998,-3.0376,0.071058,3.0252,0.069385,-3.6072,0.046901,3.0056,0.080285,-0.17427,0.22687,3.1224,0.017474,3.237,0.42724,3.2379,-0.043048
-0.46921,0.23716,3.114,0.023327,2.5599,0.31276,3.2105,-0.032627,-1.8579,0.20648,3.0696,0.049353,2.2975,0.30699,3.2021,-0.027713,0.19484,0.25406,3.1351,0.011085,-1.4215,0.21516,3.0836,0.041088,-3.0245,0.18975,3.0322,0.072017,-3.5955,0.18602,3.0138,0.083501,-0.15065,0.24517,3.1241,0.017446,3.2746,0.3266,3.2334,-0.046172
-0.44415,0.26348,3.1163,0.023246,2.5876,0.24216,3.2072,-0.034233,-1.8336,0.27729,3.0746,0.049965,2.325,0.24484,3.1993,-0.029182,0.22051,0.25918,3.1362,0.010676,-1.3971,0.27195,3.0877,0.041481,-3,0.29834,3.0395,0.07325,-3.5704,0.31334,3.0223,0.085067,-0.12531,0.26131,3.1258,0.017205,3.3025,0.2329,3.2287,-0.048162
-0.41661,0.28695,3.1186,0.022901,2.6084,0.17638,3.2037,-0.035155,-1.8026,0.34166,3.0796,0.049868,2.3466,0.18682,3.1963,-0.030051,0.24664,0.26311,3.1372,0.010208,-1.3673,0.32344,3.0919,0.041304,-2.9651,0.39732,3.0469,0.073371,-3.5332,0.42938,3.0308,0.085304,-0.098457,0.27541,3.1275,0.016802,3.3214,0.14588,3.2238,-0.049235
-0.38686,0.30771,3.1209,0.022351,2.623,0.1152,3.2002,-0.035534,-1.7655,0.39994,3.0846,0.049218,2.3625,0.13276,3.1933,-0.030444,0.2731,0.26593,3.1382,0.0096992,-1.3326,0.36992,3.096,0.040687,-2.9208,0.48714,3.0542,0.072611,-3.4849,0.53463,3.0393,0.084472,-0.070294,0.28757,3.1292,0.016273,3.3319,0.065268,3.2189,-0.049576
-0.35515,0.32592,3.1231,0.021649,2.6316,0.058429,3.1966,-0.035483,-1.7229,0.45244,3.0894,0.048141,2.3732,0.082498,3.1903,-0.03046,0.29979,0.26774,3.1392,0.0091654,-1.2935,0.41167,3.1,0.039735,-2.868,0.56824,3.0613,0.07116,-3.4266,0.62965,3.0477,0.082811,-0.041003,0.29792,3.1308,0.015653,3.3347,-0.0091828,3.2139,-0.049331
-0.32175,0.34177,3.1252,0.020837,2.6348,0.0059105,3.1931,-0.035091,-1.6752,0.49943,3.0942,0.04674,2.3791,0.035882,3.1872,-0.030178,0.32662,0.2686,3.1401,0.0086175,-1.2504,0.44892,3.1039,0.038527,-2.8075,0.64112,3.0684,0.069193,-3.3593,0.7151,3.0558,0.080529,-0.010763,0.30657,3.1323,0.014969,3.3303,-0.077733,3.209,-0.04863
-0.28687,0.35539,3.1272,0.01995,2.6329,-0.042552,3.1896,-0.034442,-1.6231,0.54125,3.0988,0.045109,2.3805,-0.0072298,3.1842,-0.029668,0.35348,0.2686,3.1409,0.0080651,-1.2038,0.48192,3.1077,0.037139,-2.74,0.70631,3.0752,0.066848,-3.2839,0.79157,3.0638,0.077793,0.020263,0.31365,3.1338,0.014243,3.3193,-0.14072,3.2042,-0.047584
-0.25074,0.36691,3.1292,0.019012,2.6264,-0.087184,3.1862,-0.033598,-1.5671,0.57827,3.1032,0.043313,2.3778,-0.047028,3.1813,-0.028986,0.38031,0.26781,3.1417,0.0075152,-1.1541,0.51095,3.1113,0.035627,-2.6664,0.76431,3.0817,0.064237,-3.2012,0.85961,3.0714,0.074739,0.051919,0.31927,3.1352,0.013493,3.3023,-0.19844,3.1995,-0.04628
