0,0,3.1416,0.53103,0,0,3.1416,0.5904,0,0,3.1416,-0.62625,0,0,3.1416,-0.020471,0,0,3.1416,-0.10883
-0.031956,-0.60865,3.1791,0.23739,-0.035357,-0.67356,3.1834,0.26552,0.034326,0.65666,3.0957,-0.31084,-0.00037041,-0.0056863,3.1393,-0.023863,0.0046894,0.090906,3.133,-0.065709
-0.11613,-1.0493,3.1923,0.040013,-0.12855,-1.162,3.1983,0.046961,0.12582,1.1477,3.0761,-0.094326,-0.00083761,-0.0023672,3.1369,-0.023931,0.017634,0.16536,3.1281,-0.034151
-0.2372,-1.3508,3.1895,-0.085393,-0.26267,-1.4972,3.1955,-0.09214,0.25926,1.5,3.0743,0.047628,-0.00062418,0.0075564,3.1346,-0.021886,0.037274,0.22513,3.1258,-0.011679
-0.38252,-1.5391,3.1769,-0.15816,-0.42382,-1.7073,3.1817,-0.17315,0.42198,1.7375,3.0838,0.13448,0.00082784,0.022113,3.1326,-0.018612,0.062231,0.27209,3.1255,0.0037642
-0.54194,-1.6361,3.1591,-0.19336,-0.60076,-1.8169,3.1622,-0.2126,0.60362,1.8815,3.0999,0.18138,0.0038994,0.039713,3.1309,-0.014746,0.091322,0.30797,3.1264,0.013868
-0.70737,-1.6619,3.1391,-0.20239,-0.78457,-1.8476,3.1402,-0.22305,0.7958,1.9509,3.1191,0.19987,0.0088302,0.059091,3.1297,-0.010728,0.12352,0.33454,3.1281,0.019971
-0.8725,-1.633,3.1192,-0.19422,-0.96826,-1.8178,3.1182,-0.21444,0.99185,1.9618,3.1392,0.19913,0.015744,0.079271,3.1288,-0.0068446,0.15797,0.35335,3.1303,0.023149
-1.0326,-1.5635,3.1007,-0.17538,-1.1466,-1.743,3.0977,-0.19396,1.1867,1.928,3.1586,0.18596,0.024686,0.099497,3.1283,-0.003283,0.19397,0.36569,3.1327,0.024262
-1.1842,-1.4648,3.0843,-0.15068,-1.3158,-1.6358,3.0796,-0.16695,1.3764,1.861,3.1762,0.1654,0.035628,0.11922,3.1281,-0.00013898,0.23093,0.37275,3.1351,0.023954
-1.3249,-1.346,3.0706,-0.12361,-1.473,-1.5063,3.0644,-0.13726,1.5581,1.7701,3.1915,0.14124,0.048498,0.13804,3.1282,0.0025447,0.26838,0.37556,3.1375,0.022709
-1.453,-1.2145,3.0596,-0.096364,-1.6166,-1.3625,3.0522,-0.10733,1.7298,1.6627,3.2044,0.11591,0.063195,0.15566,3.1286,0.0047583,0.30593,0.37499,3.1396,0.020909
-1.5676,-1.076,3.0513,-0.070495,-1.7453,-1.2107,3.0429,-0.07888,1.8903,1.5449,3.2147,0.091151,0.079586,0.17193,3.1292,0.0065281,0.34328,0.37173,3.1416,0.018811
-1.6681,-0.93493,3.0454,-0.046906,-1.8586,-1.0559,3.0363,-0.052896,2.0386,1.4211,3.2227,0.06808,0.097532,0.18673,3.1299,0.0078874,0.38021,0.36638,3.1434,0.016601
-1.7546,-0.79446,3.0418,-0.025995,-1.9565,-0.90158,3.0322,-0.029833,2.1744,1.2949,3.2284,0.047216,0.11688,0.20001,3.1307,0.0088832,0.41651,0.35941,3.1449,0.014416
-1.8271,-0.65717,3.0401,-0.0079965,-2.039,-0.75059,3.0302,-0.0099603,2.2976,1.169,3.2322,0.028893,0.13748,0.21178,3.1317,0.0095645,0.45204,0.3512,3.1463,0.012334
-1.8862,-0.52479,3.0401,0.007137,-2.1068,-0.60486,3.0301,0.0067842,2.4083,1.0454,3.2343,0.013183,0.15919,0.22206,3.1326,0.0099753,0.48672,0.34206,3.1474,0.010401
